saverest,areasymbol,areaname,musym,hydgrp,kwfact,albedodry_r,restrictiondepthr,partdensity,compname,texdesc,hzdepb_r,dbovendry_r,claytotal_r,silttotal_r,sandtotal_r,fragvol,sandvf_r,caco3_r,ksat_r,wthirdbar_r,wfifteenbar_r,om_r,ph1to1h2o_r,comppct_r
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",BoB2,C/D,.32,0.17,>200,2.65,Pewamo,Clay loam,200,1.9,33,44,23,7,6,23,2.82,32,22,0.5,7.9,6
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",BuUXA,D,.37,0.3,91,2.65,Glynwood,Silt loam,23,1.58,24,54,22,3,6,0,2.82,29,15,1.5,6.2,6
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",BuUXA,D,.37,0.29,99,2.65,Blount,Silt loam,25,1.5,22,56,22,3,6,0,9.17,30,17,2.5,6.4,50
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",BuUXA,C/D,.24,0.17,>200,2.65,Pewamo,Silty clay loam,28,1.66,35,50,15,2,5,0,9.17,35,25,5,6.4,9
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",BuUXA,D,.28,0.3,91,2.65,Glynwood,Clay,74,1.82,42,36,22,5,7,0,0.92,32,23,0.75,6.2,6
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",BuUXA,D,.32,0.29,99,2.65,Blount,Silty clay,83,1.8,42,42,16,4,5,0,0.92,30,22,0.5,6.5,50
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",BuUXA,C/D,.28,0.17,>200,2.65,Pewamo,Silty clay,86,1.83,42,42,16,4,4,0,2.82,31,24,1.25,6.4,9
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",BuUXA,D,.32,0.3,91,2.65,Glynwood,Clay loam,91,2.02,36,40,24,8,7,12,0.92,27,26,0.5,7.3,6
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",BuUXA,D,.37,0.29,99,2.65,Blount,Clay loam,99,2,35,40,25,6,7,12,0.92,25,23,0.25,7.6,50
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",BuUXA,C/D,.24,0.17,>200,2.65,Pewamo,Clay,145,1.83,42,38,20,4,5,0,2.82,32,24,1.25,7,9
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",BuUXA,D,.32,0.3,91,2.65,Glynwood,Clay loam,200,2.09,36,39,25,8,7,26,0.74,24,21,0.25,7.9,6
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",BuUXA,D,.37,0.29,99,2.65,Blount,Clay loam,200,2.05,33,45,22,7,6,24,0.74,22,20,0.25,8,50
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",BuUXA,C/D,.32,0.17,>200,2.65,Pewamo,Clay loam,200,1.9,33,44,23,7,6,23,2.82,32,22,0.5,7.9,9
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",Ca,A/D,,0.09,>200,,Carlisle,Muck,25,0.8,,,,5,,0,21.7,53.3,17.8,70,,85
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",Ca,C/D,.24,0.17,>200,,Pewamo,Silty clay loam,28,1.66,35,50,15,2,5,0,9.17,34.8,18,4,6.4,6
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",Ca,B/D,,0.04,>200,,Linwood,Muck,64,0.75,,,,5,,0,21.7,53.7,11.7,65,,9
